result_index,pid,dataset_file_path,raw_path,qnn_output_path,dim,qnn_norm,torch_norm,cosine_raw,cosine_l2,l2_raw,l2_l2,mean_abs_raw,max_abs_raw,qnn_has_nan,qnn_has_inf,torch_has_nan,torch_has_inf
0,2000,TamChuc_01/02001_1.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_test_gallery_2000/raw/00000_pid2000_TamChuc_01_02001_1.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/rotated_w8a8_learned_qat_v8_gallery_2000/Result_0/output_0.raw,768,12.294895920495447,12.36563172941381,0.9603129625320435,0.9603129625320435,3.474560499191284,0.28173398971557617,0.0975981131196022,0.4359823167324066,False,False,False,False
1,2000,TamChuc_01/02001_2.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_test_gallery_2000/raw/00001_pid2000_TamChuc_01_02001_2.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/rotated_w8a8_learned_qat_v8_gallery_2000/Result_1/output_0.raw,768,12.588141158230473,12.64331846455935,0.9534415006637573,0.9534415006637573,3.850083112716675,0.30515056848526,0.11124859005212784,0.5811746120452881,False,False,False,False
2,2001,TamChuc_01/02002_1.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_test_gallery_2000/raw/00002_pid2001_TamChuc_01_02002_1.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/rotated_w8a8_learned_qat_v8_gallery_2000/Result_2/output_0.raw,768,13.327666771833885,13.233993558124624,0.9761314392089844,0.9761313199996948,2.9031858444213867,0.21848726272583008,0.08183306455612183,0.41925811767578125,False,False,False,False
3,2001,TamChuc_01/02002_2.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_test_gallery_2000/raw/00003_pid2001_TamChuc_01_02002_2.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/rotated_w8a8_learned_qat_v8_gallery_2000/Result_3/output_0.raw,768,13.171114628525805,12.679280156506358,0.9630345702171326,0.9630346298217773,3.548004150390625,0.27190184593200684,0.10162696987390518,0.5157122015953064,False,False,False,False
4,2002,TamChuc_01/02003_1.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_test_gallery_2000/raw/00004_pid2002_TamChuc_01_02003_1.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/rotated_w8a8_learned_qat_v8_gallery_2000/Result_4/output_0.raw,768,13.684342513296187,13.00621066090105,0.9701845645904541,0.9701845049858093,3.327617883682251,0.24419420957565308,0.09395917505025864,0.537777304649353,False,False,False,False
5,2002,TamChuc_01/02003_2.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_test_gallery_2000/raw/00005_pid2002_TamChuc_01_02003_2.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/rotated_w8a8_learned_qat_v8_gallery_2000/Result_5/output_0.raw,768,13.755965462471446,13.646272717171696,0.9687386751174927,0.9687386155128479,3.427621364593506,0.2500447630882263,0.09833792597055435,0.5788614749908447,False,False,False,False
6,2003,TamChuc_01/02004_1.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_test_gallery_2000/raw/00006_pid2003_TamChuc_01_02004_1.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/rotated_w8a8_learned_qat_v8_gallery_2000/Result_6/output_0.raw,768,13.216605763424747,13.305251423459566,0.9399529695510864,0.9399529695510864,4.596353530883789,0.3465461730957031,0.1304090917110443,0.5804185271263123,False,False,False,False
7,2003,TamChuc_01/02004_2.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_test_gallery_2000/raw/00007_pid2003_TamChuc_01_02004_2.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/rotated_w8a8_learned_qat_v8_gallery_2000/Result_7/output_0.raw,768,13.018196047256195,12.741149366084768,0.9487355351448059,0.9487354755401611,4.1331467628479,0.32020145654678345,0.11966215819120407,0.5676351189613342,False,False,False,False
8,2004,TamChuc_01/02005_1.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_test_gallery_2000/raw/00008_pid2004_TamChuc_01_02005_1.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/rotated_w8a8_learned_qat_v8_gallery_2000/Result_8/output_0.raw,768,12.083084001587757,12.20477493847144,0.9572836756706238,0.9572836756706238,3.551577091217041,0.29228895902633667,0.10118705779314041,0.42809274792671204,False,False,False,False
9,2004,TamChuc_01/02005_2.jpg,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_test_gallery_2000/raw/00009_pid2004_TamChuc_01_02005_2.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_runs/rotated_w8a8_learned_qat_v8_gallery_2000/Result_9/output_0.raw,768,11.820605755584344,12.22655778238638,0.9472092986106873,0.9472092986106873,3.9273369312286377,0.3249328136444092,0.11131376028060913,0.5888259410858154,False,False,False,False
