sample_index,pid,split,dataset_file_path,caption,input_ids_raw,attention_mask_raw,num_tokens
0,2050,test,TamChuc_01/02051_1.jpg,"nam mặc áo sơ mi ngắn tay màu sáng, mặc quần màu xám, đi giày thể thao màu trắng đế vàng, tay trái đeo đồng hồ.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00000_pid2050_02051_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00000_pid2050_02051_1_attention_mask.raw,54
1,2050,test,TamChuc_01/02051_2.jpg,"nam mặc áo sơ mi màu sáng cộc tay, túi áo có một số thứ, mặc quần dài màu xám, đi giày màu trắng đế vàng, đeo đồng hồ ở tay trái.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00001_pid2050_02051_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00001_pid2050_02051_2_attention_mask.raw,64
2,2051,test,TamChuc_01/02052_1.jpg,"Bé trai mặc áo đá bóng màu vàng, mặc quần dài màu đen, đi xăng đan màu đen xám, tay phải cầm điện thoại.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00002_pid2051_02052_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00002_pid2051_02052_1_attention_mask.raw,51
3,2051,test,TamChuc_01/02052_2.jpg,"Bé trai mặc áo đá bóng màu vàng, mặc quần màu đen, đi dép xăng đan màu xanh đen, tay phải cầm điện thoại.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00003_pid2051_02052_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00003_pid2051_02052_2_attention_mask.raw,49
4,2052,test,TamChuc_01/02053_1.jpg,"nam đội mũ đen, mặc áo phông ngắn tay màu trắng có các đường kẻ ngang màu nâu, mặc quần màu đen, đi dép màu sáng, tay trái cầm tờ giấy trắng.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00004_pid2052_02053_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00004_pid2052_02053_1_attention_mask.raw,64
5,2052,test,TamChuc_01/02053_2.jpg,"nam đội mũ màu nâu, mặc áo phông ngắn tay màu trắng có những đường kẻ màu nâu, mặc quần màu đen, đi dép sáng màu, tay trái cầm tờ giấy trắng.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00005_pid2052_02053_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00005_pid2052_02053_2_attention_mask.raw,64
6,2053,test,TamChuc_01/02054_1.jpg,"nam đeo khẩu trang xanh dương, mặc áo sơ mi dài tay màu tím nhạt, mặc quần dài màu tím than, đi giày màu đen, tay trái cầm một tờ giấy trắng, có một chùm chìa khóa treo trên thắt lưng.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00006_pid2053_02054_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00006_pid2053_02054_1_attention_mask.raw,64
7,2053,test,TamChuc_01/02054_2.jpg,"nam đeo khẩu trang màu xanh dương, mặc áo sơ mi dài tay màu tím nhạt, mặc quần dài màu tím than, đi giày màu nâu, tay phải cầm một tờ giấy trắng, có chùm chìa khóa treo ở thắt lưng.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00007_pid2053_02054_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00007_pid2053_02054_2_attention_mask.raw,64
8,2054,test,TamChuc_01/02055_1.jpg,"nam đeo khẩu trang màu trắng, mặc áo sơ mi trắng xắn tay, mặc quần dài màu tím than.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00008_pid2054_02055_1_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00008_pid2054_02055_1_attention_mask.raw,40
9,2054,test,TamChuc_01/02055_2.jpg,"nam đeo khẩu trang màu xanh dương, mặc áo sơ mi trắng xắn tay, quần màu tím than, đi giày màu nâu.",/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00009_pid2054_02055_2_input_ids.raw,/Users/phamtunglam/Documents/Projects/mSigLIP/code/artifacts/deployment/qnn_inputs/vn3k_text_10_altreal_i32/raw/00009_pid2054_02055_2_attention_mask.raw,45
